From	Entry	Entry Name	Reviewed	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	Gene Ontology IDs
OLF71427.1	A0A1Q8FIE5	A0A1Q8FIE5_9PROT	unreviewed	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	aroA AWH62_12845	Maricaulis sp. W15	447	cytoplasm [GO:0005737]; 3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]; amino acid biosynthetic process [GO:0008652]; aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]	GO:0003866; GO:0005737; GO:0008652; GO:0009073; GO:0009423
PCJ25276.1	A0A2A5B2I8	A0A2A5B2I8_9FLAO	unreviewed	S9 family peptidase	COA97_08105	Flavobacteriales bacterium	703	cytoplasm [GO:0005737]; serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]	GO:0004252; GO:0005737; GO:0006508
PCI93486.1	A0A2A4YF80	A0A2A4YF80_9FLAO	unreviewed	Plug domain-containing protein	COB15_16345	Flavobacteriales bacterium	1153		
PCI97569.1	A0A2A4YSS8	A0A2A4YSS8_9FLAO	unreviewed	Glycosyl hydrolase	COB15_07635	Flavobacteriales bacterium	1100	"hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]"	GO:0004553; GO:0005975
PCJ27381.1	A0A2A5B7S5	A0A2A5B7S5_9FLAO	unreviewed	DNA helicase (EC 3.6.4.12)	COA97_03685	Flavobacteriales bacterium	1046	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; exonuclease activity [GO:0004527]; DNA repair [GO:0006281]	GO:0003677; GO:0003678; GO:0004527; GO:0005524; GO:0006281; GO:0016887
PCI97562.1	A0A2A4YRX5	A0A2A4YRX5_9FLAO	unreviewed	DNA helicase (EC 3.6.4.12)	COB15_07595	Flavobacteriales bacterium	1047	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; exonuclease activity [GO:0004527]; DNA repair [GO:0006281]	GO:0003677; GO:0003678; GO:0004527; GO:0005524; GO:0006281; GO:0016887
PIP94975.1	A0A2H0EKN9	A0A2H0EKN9_9RHOB	unreviewed	4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7)	dapA COW75_12860	Rhodobacterales bacterium CG18_big_fil_WC_8_21_14_2_50_71_9	292	cytoplasm [GO:0005737]; 4-hydroxy-tetrahydrodipicolinate synthase activity [GO:0008840]; diaminopimelate biosynthetic process [GO:0019877]; lysine biosynthetic process via diaminopimelate [GO:0009089]	GO:0005737; GO:0008840; GO:0009089; GO:0019877
NDB55422.1	A0A8T6MY41	A0A8T6MY41_9ARCH	unreviewed	LPD38 domain-containing protein	EB169_06275	archaeon	919		
PCI94607.1	A0A2A4YJT0	A0A2A4YJT0_9FLAO	unreviewed	SAM-dependent methyltransferase	COB15_13885	Flavobacteriales bacterium	404	methyltransferase activity [GO:0008168]; RNA binding [GO:0003723]; methylation [GO:0032259]	GO:0003723; GO:0008168; GO:0032259
OFY95630.1	A0A1F3R0B0	A0A1F3R0B0_9BACT	unreviewed	Chromosome partitioning protein ParA	A3K10_04235	Bacteroidetes bacterium RIFCSPLOWO2_12_FULL_31_6	270		
RKQ96109.1	A0A495D2V6	A0A495D2V6_9PROT	unreviewed	Zinc carboxypeptidase	C7435_2361	Maricaulis maris	893	metallocarboxypeptidase activity [GO:0004181]; zinc ion binding [GO:0008270]; proteolysis [GO:0006508]	GO:0004181; GO:0006508; GO:0008270
PJB15359.1	A0A2M8ACR6	A0A2M8ACR6_9FLAO	unreviewed	Elongation factor G	fusA CO118_03615	Flavobacteriales bacterium CG_4_9_14_3_um_filter_32_8	276	GTP binding [GO:0005525]; translation elongation factor activity [GO:0003746]	GO:0003746; GO:0005525
OFY93047.1	A0A1F3QVJ0	A0A1F3QVJ0_9BACT	unreviewed	Phosphate starvation-inducible protein PhoH	A3K10_10755	Bacteroidetes bacterium RIFCSPLOWO2_12_FULL_31_6	316	ATP binding [GO:0005524]	GO:0005524
RYF92677.1	A0A4Q3S2W0	A0A4Q3S2W0_9CAUL	unreviewed	TonB-dependent receptor	EON95_11570	Caulobacteraceae bacterium	836	cell outer membrane [GO:0009279]	GO:0009279
PJB14724.1	A0A2M8AB70	A0A2M8AB70_9FLAO	unreviewed	Por_Secre_tail domain-containing protein	CO118_07125	Flavobacteriales bacterium CG_4_9_14_3_um_filter_32_8	402		
MAK64015.1	A0A2D7Y3L4	A0A2D7Y3L4_9PROT	unreviewed	Cation:proton antiporter	CMF75_04615	Maricaulis sp	189	plasma membrane [GO:0005886]	GO:0005886
MBR06060.1	A0A2E8MR24	A0A2E8MR24_9RICK	unreviewed	XdhC/CoxI type molybdenum-dependent oxidoreductase accessory protein	CMP48_00095	Rickettsiales bacterium	384		
OFY91920.1	A0A1F3QPN6	A0A1F3QPN6_9BACT	unreviewed	Deoxynucleoside kinase	A3K10_16490	Bacteroidetes bacterium RIFCSPLOWO2_12_FULL_31_6	207	ATP binding [GO:0005524]; deoxynucleoside kinase activity [GO:0019136]; phosphorylation [GO:0016310]	GO:0005524; GO:0016310; GO:0019136
PCJ27385.1	A0A2A5B7D1	A0A2A5B7D1_9FLAO	unreviewed	DNA-binding response regulator	COA97_03710	Flavobacteriales bacterium	210	DNA binding [GO:0003677]; phosphorelay signal transduction system [GO:0000160]; regulation of DNA-templated transcription [GO:0006355]	GO:0000160; GO:0003677; GO:0006355
KJS06547.1	A0A0F2P1Z6	A0A0F2P1Z6_9FLAO	unreviewed	DUF5689 domain-containing protein	VR77_04685	Flavobacteriales bacterium BRH_c54	414		
PJB14212.1	A0A2M8A9D4	A0A2M8A9D4_9FLAO	unreviewed	Oxidoreductase	CO118_09765	Flavobacteriales bacterium CG_4_9_14_3_um_filter_32_8	199		
OLF77768.1	A0A1Q8FVA8	A0A1Q8FVA8_9PROT	unreviewed	Uncharacterized protein	AWH62_03600	Maricaulis sp. W15	148	membrane [GO:0016020]	GO:0016020
NNE55029.1	A0A848UW12	A0A848UW12_9FLAO	unreviewed	Transposase	HKN32_03340	Flavobacteriales bacterium	298	"DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]"	GO:0003677; GO:0004803; GO:0006313
NEQ78246.1	A0A846B4A8	A0A846B4A8_9CYAN	unreviewed	PUB domain-containing protein	F6K23_37815	Okeania sp. SIO2C9	199		
MAC39687.1	A0A2E5UUR1	A0A2E5UUR1_9PROT	unreviewed	Transcriptional repressor NrdR	nrdR CMH93_09220 CMH94_01640	Oceanicaulis sp	161	ATP binding [GO:0005524]; DNA binding [GO:0003677]; zinc ion binding [GO:0008270]; negative regulation of DNA-templated transcription [GO:0045892]	GO:0003677; GO:0005524; GO:0008270; GO:0045892
MAZ91257.1	A0A2E2XS33	A0A2E2XS33_9PROT	unreviewed	DUF3126 family protein	CMF76_04725	Maricaulis sp	74		
CAJ01659.1	Q2VNH3	Q2VNH3_METAI	unreviewed	Uncharacterized protein	orf127	Methylocapsa acidiphila	113		
NUQ65972.1	A0A7Y5SR96	A0A7Y5SR96_9BACT	unreviewed	Glycosyltransferase family 2 protein	HUU20_26220	Pirellulales bacterium	254		
HCQ30584.1	A0A3D4CKE0	A0A3D4CKE0_9FLAO	unreviewed	Methylenetetrahydrofolate reductase (EC 1.5.1.20)	DIU39_09875	Flavobacteriales bacterium	72	methylenetetrahydrofolate reductase NADH activity [GO:0106312]; methylenetetrahydrofolate reductase NADPH activity [GO:0106313]; methionine metabolic process [GO:0006555]; tetrahydrofolate interconversion [GO:0035999]	GO:0006555; GO:0035999; GO:0106312; GO:0106313
PCJ23399.1	A0A2A5AVX0	A0A2A5AVX0_9FLAO	unreviewed	Putative fluoride ion transporter CrcB	crcB COA97_11730	Flavobacteriales bacterium	122	plasma membrane [GO:0005886]; fluoride transmembrane transporter activity [GO:1903425]	GO:0005886; GO:1903425
OFY90871.1	A0A1F3QLK0	A0A1F3QLK0_9BACT	unreviewed	acidPPc domain-containing protein	A3K10_17410	Bacteroidetes bacterium RIFCSPLOWO2_12_FULL_31_6	193	membrane [GO:0016020]	GO:0016020
OLF72429.1	A0A1Q8FKI3	A0A1Q8FKI3_9PROT	unreviewed	S-formylglutathione hydrolase (EC 3.1.2.12)	AWH62_11290	Maricaulis sp. W15	278	carboxylic ester hydrolase activity [GO:0052689]; S-formylglutathione hydrolase activity [GO:0018738]; formaldehyde catabolic process [GO:0046294]	GO:0018738; GO:0046294; GO:0052689
MAD50910.1	A0A2D5PW59	A0A2D5PW59_9FLAO	unreviewed	Translational GTPase TypA	CMC95_06400	Flavobacteriales bacterium	186	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0003924; GO:0005525
KJS06770.1	A0A0F2P041	A0A0F2P041_9FLAO	unreviewed	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B (Asp/Glu-ADT subunit B) (EC 6.3.5.-)	gatB VR77_04045	Flavobacteriales bacterium BRH_c54	483	asparaginyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050566]; ATP binding [GO:0005524]; glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050567]; transferase activity [GO:0016740]; translation [GO:0006412]	GO:0005524; GO:0006412; GO:0016740; GO:0050566; GO:0050567
TXB64046.1	A0A5C6RP01	A0A5C6RP01_9FLAO	unreviewed	Acetate--CoA ligase (EC 6.2.1.1)	acs FRY74_11895	Vicingus serpentipes	632	acetate-CoA ligase activity [GO:0003987]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; acetyl-CoA biosynthetic process from acetate [GO:0019427]	GO:0003987; GO:0005524; GO:0016208; GO:0019427
PCI96879.1	A0A2A4YQT6	A0A2A4YQT6_9FLAO	unreviewed	Aminoacetone oxidase family FAD-binding enzyme	COB15_08915	Flavobacteriales bacterium	416	membrane [GO:0016020]	GO:0016020
PCJ25516.1	A0A2A5B371	A0A2A5B371_9FLAO	unreviewed	Por_Secre_tail domain-containing protein	COA97_07550	Flavobacteriales bacterium	323		
PCJ28847.1	A0A2A5BBC5	A0A2A5BBC5_9FLAO	unreviewed	Cell division protein FtsQ	COA97_00480	Flavobacteriales bacterium	262	membrane [GO:0016020]	GO:0016020
PJA07285.1	A0A2M7VUA4	A0A2M7VUA4_9FLAO	unreviewed	Por_Secre_tail domain-containing protein	COX70_07410	Flavobacteriales bacterium CG_4_10_14_0_2_um_filter_32_8	962		
PJB15348.1	A0A2M8ACL1	A0A2M8ACL1_9FLAO	unreviewed	Anion transporter	CO118_03920	Flavobacteriales bacterium CG_4_9_14_3_um_filter_32_8	148	membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
PJA08049.1	A0A2M7VVW0	A0A2M7VVW0_9FLAO	unreviewed	DUF3108 domain-containing protein	COX70_04750	Flavobacteriales bacterium CG_4_10_14_0_2_um_filter_32_8	232		
PJC62108.1	A0A2M8FS00	A0A2M8FS00_9FLAO	unreviewed	RecQ family ATP-dependent DNA helicase	CO022_06285	Flavobacteriales bacterium CG_4_9_14_0_2_um_filter_32_27	252	ATP binding [GO:0005524]; helicase activity [GO:0004386]; nucleic acid binding [GO:0003676]; DNA recombination [GO:0006310]	GO:0003676; GO:0004386; GO:0005524; GO:0006310
PJA07468.1	A0A2M7VUR5	A0A2M7VUR5_9FLAO	unreviewed	Histidine kinase	COX70_06455	Flavobacteriales bacterium CG_4_10_14_0_2_um_filter_32_8	370		
KAB2859602.1	A0A7J5EFI5	A0A7J5EFI5_9FLAO	unreviewed	OstA-like_N domain-containing protein	F9K09_01400	Flavobacteriales bacterium	421	membrane [GO:0016020]	GO:0016020
ABI64653.1	Q0AST4	Q0AST4_MARMM	unreviewed	Major facilitator superfamily MFS_1	Mmar10_0360	Maricaulis maris (strain MCS10)	578	membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
OFY89818.1	A0A1F3QML1	A0A1F3QML1_9BACT	unreviewed	tRNA dimethylallyltransferase (EC 2.5.1.75) (Dimethylallyl diphosphate:tRNA dimethylallyltransferase) (DMAPP:tRNA dimethylallyltransferase) (DMATase) (Isopentenyl-diphosphate:tRNA isopentenyltransferase) (IPP transferase) (IPPT) (IPTase)	miaA A3K10_16670	Bacteroidetes bacterium RIFCSPLOWO2_12_FULL_31_6	301	ATP binding [GO:0005524]; tRNA dimethylallyltransferase activity [GO:0052381]; tRNA processing [GO:0008033]	GO:0005524; GO:0008033; GO:0052381
PJB14365.1	A0A2M8A9W4	A0A2M8A9W4_9FLAO	unreviewed	Por_Secre_tail domain-containing protein	CO118_08965	Flavobacteriales bacterium CG_4_9_14_3_um_filter_32_8	586		
PCJ00834.1	A0A2A4Z129	A0A2A4Z129_9FLAO	unreviewed	Glyoxalase	COB15_01820	Flavobacteriales bacterium	140		
RKQ95174.1	A0A495D0Y3	A0A495D0Y3_9PROT	unreviewed	J domain-containing protein	C7435_2861	Maricaulis maris	150	unfolded protein binding [GO:0051082]; protein folding [GO:0006457]	GO:0006457; GO:0051082
MAZ92251.1	A0A2E2XUT2	A0A2E2XUT2_9PROT	unreviewed	Alpha/beta hydrolase	CMF76_09860	Maricaulis sp	304		
PCJ85376.1	A0A2A5FZ70	A0A2A5FZ70_9FLAO	unreviewed	Ferritin-like domain-containing protein	COA57_07825	Flavobacteriales bacterium	250	membrane [GO:0016020]; oxidoreductase activity [GO:0016491]	GO:0016020; GO:0016491
PCJ28567.1	A0A2A5BAI0	A0A2A5BAI0_9FLAO	unreviewed	Radical SAM protein	COA97_01080	Flavobacteriales bacterium	340	catalytic activity [GO:0003824]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]	GO:0003824; GO:0046872; GO:0051536
ADI23447.1	E7C7M3	E7C7M3_9BACT	unreviewed	Secreted protein		uncultured nuHF1 cluster bacterium HF0770_35I22	137		
CAJ30045.1	Q3BKI1	Q3BKI1_9PROT	unreviewed	Uncharacterized protein	mgI387	Magnetospirillum gryphiswaldense	259		
MBI34037.1	A0A2E5RJU1	A0A2E5RJU1_9FLAO	unreviewed	Diaminopimelate decarboxylase (EC 4.1.1.20)	lysA CMP67_01570	Flavobacteriales bacterium	381	diaminopimelate decarboxylase activity [GO:0008836]; lysine biosynthetic process via diaminopimelate [GO:0009089]	GO:0008836; GO:0009089
OFY93934.1	A0A1F3QVC5	A0A1F3QVC5_9BACT	unreviewed	Regulator	A3K10_04995	Bacteroidetes bacterium RIFCSPLOWO2_12_FULL_31_6	342	ATP binding [GO:0005524]; regulation of DNA-templated transcription [GO:0006355]	GO:0005524; GO:0006355
KJS07241.1	A0A0F2P1I8	A0A0F2P1I8_9FLAO	unreviewed	Response regulatory domain-containing protein	VR77_01635	Flavobacteriales bacterium BRH_c54	139	phosphorelay signal transduction system [GO:0000160]	GO:0000160
PCJ24258.1	A0A2A5AZL1	A0A2A5AZL1_9FLAO	unreviewed	AsmA_2 domain-containing protein	COA97_10210	Flavobacteriales bacterium	1511	membrane [GO:0016020]; protein secretion [GO:0009306]	GO:0009306; GO:0016020
PJB15533.1	A0A2M8AD71	A0A2M8AD71_9FLAO	unreviewed	PKD_6 domain-containing protein	CO118_03220	Flavobacteriales bacterium CG_4_9_14_3_um_filter_32_8	300		
PCJ28853.1	A0A2A5BBE2	A0A2A5BBE2_9FLAO	unreviewed	"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)"	murE COA97_00515	Flavobacteriales bacterium	487	"cytoplasm [GO:0005737]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase activity [GO:0008765]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]"	GO:0000287; GO:0005524; GO:0005737; GO:0007049; GO:0008360; GO:0008765; GO:0009252; GO:0051301; GO:0071555
PCJ23409.1	A0A2A5AVY1	A0A2A5AVY1_9FLAO	unreviewed	Short-chain dehydrogenase	COA97_11785	Flavobacteriales bacterium	240		
PJA08952.1	A0A2M7VX57	A0A2M7VX57_9FLAO	unreviewed	Peptidase_M43 domain-containing protein	COX70_02665	Flavobacteriales bacterium CG_4_10_14_0_2_um_filter_32_8	321	metallopeptidase activity [GO:0008237]	GO:0008237
PCJ89757.1	A0A2A5GAC7	A0A2A5GAC7_9FLAO	unreviewed	Glyco_trans_2-like domain-containing protein	COA57_00970	Flavobacteriales bacterium	289		
PCJ27423.1	A0A2A5B7A0	A0A2A5B7A0_9FLAO	unreviewed	Transglut_core2 domain-containing protein	COA97_03915	Flavobacteriales bacterium	277		
MXP30648.1	A0A845B369	A0A845B369_9SPHN	unreviewed	Restriction endonuclease	GRI94_02290 GRI94_16380	Parerythrobacter jejuensis	135	endonuclease activity [GO:0004519]	GO:0004519
HAA16816.1	A0A3B8IJN5	A0A3B8IJN5_9BACT	unreviewed	UvrABC system protein B	DCE41_35920	Cytophagales bacterium	280	excinuclease repair complex [GO:0009380]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; nucleotide-excision repair [GO:0006289]	GO:0003677; GO:0005524; GO:0006289; GO:0009380; GO:0016887
PJA06884.1	A0A2M7VT98	A0A2M7VT98_9FLAO	unreviewed	Release factor glutamine methyltransferase (RF MTase) (EC 2.1.1.297) (N5-glutamine methyltransferase PrmC) (Protein-(glutamine-N5) MTase PrmC) (Protein-glutamine N-methyltransferase PrmC)	prmC COX70_08580	Flavobacteriales bacterium CG_4_10_14_0_2_um_filter_32_8	289	nucleic acid binding [GO:0003676]; protein-(glutamine-N5) methyltransferase activity [GO:0102559]; protein-glutamine N-methyltransferase activity [GO:0036009]; peptidyl-glutamine methylation [GO:0018364]	GO:0003676; GO:0018364; GO:0036009; GO:0102559
MAK64478.1	A0A2D7Y4W0	A0A2D7Y4W0_9PROT	unreviewed	Excinuclease ABC subunit C	CMF75_07020	Maricaulis sp	179	DNA binding [GO:0003677]; excinuclease ABC activity [GO:0009381]; DNA repair [GO:0006281]	GO:0003677; GO:0006281; GO:0009381
SDL62827.1	A0A1G9LM40	A0A1G9LM40_9PROT	unreviewed	Amidohydrolase family protein	SAMN04488568_101107	Maricaulis salignorans	503	"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds [GO:0016810]"	GO:0016810
PJB14077.1	A0A2M8A989	A0A2M8A989_9FLAO	unreviewed	Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS)	tyrS CO118_10465	Flavobacteriales bacterium CG_4_9_14_3_um_filter_32_8	426	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; RNA binding [GO:0003723]; tyrosine-tRNA ligase activity [GO:0004831]; tyrosyl-tRNA aminoacylation [GO:0006437]	GO:0003723; GO:0004831; GO:0005524; GO:0005737; GO:0006437
PCJ00653.1	A0A2A4Z0S0	A0A2A4Z0S0_9FLAO	unreviewed	PSP1 C-terminal domain-containing protein	COB15_02455	Flavobacteriales bacterium	423		
MBF90335.1	A0A2E4WNH8	A0A2E4WNH8_9FLAO	unreviewed	3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)	CMP75_01070	Flavobacteriales bacterium	296	3-hydroxybutyryl-CoA dehydrogenase activity [GO:0008691]; NAD+ binding [GO:0070403]; fatty acid metabolic process [GO:0006631]	GO:0006631; GO:0008691; GO:0070403
BAR62808.1	A0A0E4BWJ6	A0A0E4BWJ6_9BRAD	unreviewed	DUF1534 domain-containing protein	NK6_9671	Bradyrhizobium diazoefficiens	95		
NND06842.1	A0A7Y1V3L2	A0A7Y1V3L2_9BACT	unreviewed	Winged helix-turn-helix transcriptional regulator	HKN87_10725	Saprospiraceae bacterium	107	DNA-binding transcription factor activity [GO:0003700]	GO:0003700
PCI98657.1	A0A2A4YWH1	A0A2A4YWH1_9FLAO	unreviewed	Antitoxin component YwqK of the YwqJK toxin-antitoxin module	COB15_05385	Flavobacteriales bacterium	593		
PCJ26542.1	A0A2A5B4W7	A0A2A5B4W7_9FLAO	unreviewed	Threonylcarbamoyl-AMP synthase	COA97_05550	Flavobacteriales bacterium	205	double-stranded RNA binding [GO:0003725]	GO:0003725
OLF71798.1	A0A1Q8FJ34	A0A1Q8FJ34_9PROT	unreviewed	Transmembrane protein	AWH62_11725	Maricaulis sp. W15	162	membrane [GO:0016020]	GO:0016020
PCJ00838.1	A0A2A4Z2Q5	A0A2A4Z2Q5_9FLAO	unreviewed	DUF4890 domain-containing protein	COB15_01840	Flavobacteriales bacterium	107		
PCJ01567.1	A0A2A4Z3H4	A0A2A4Z3H4_9FLAO	unreviewed	Tungsten formylmethanofuran dehydrogenase	COB15_00540	Flavobacteriales bacterium	688	"oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor [GO:0016624]"	GO:0016624
HBG87979.1	A0A353U1U3	A0A353U1U3_9BACT	unreviewed	Aspartate kinase	DDW62_10575	Marinilabiliaceae bacterium	107	aspartate kinase activity [GO:0004072]; amino acid biosynthetic process [GO:0008652]; phosphorylation [GO:0016310]	GO:0004072; GO:0008652; GO:0016310
PJB14035.1	A0A2M8A8Y4	A0A2M8A8Y4_9FLAO	unreviewed	Aspartokinase (EC 2.7.2.4)	CO118_10730	Flavobacteriales bacterium CG_4_9_14_3_um_filter_32_8	365	aspartate kinase activity [GO:0004072]; ATP binding [GO:0005524]; lysine biosynthetic process via diaminopimelate [GO:0009089]; phosphorylation [GO:0016310]; threonine biosynthetic process [GO:0009088]	GO:0004072; GO:0005524; GO:0009088; GO:0009089; GO:0016310
RPI74366.1	A0A3N5QH95	A0A3N5QH95_9BACT	unreviewed	HD domain-containing protein	EHM47_03825	Ignavibacteriales bacterium	402	plasma membrane [GO:0005886]; nucleotide binding [GO:0000166]; defense response to virus [GO:0051607]	GO:0000166; GO:0005886; GO:0051607
PJC62103.1	A0A2M8FRT9	A0A2M8FRT9_9FLAO	unreviewed	Glycosyltransferase WbuB	CO022_06345	Flavobacteriales bacterium CG_4_9_14_0_2_um_filter_32_27	407	glycosyltransferase activity [GO:0016757]	GO:0016757
OFY91921.1	A0A1F3QPJ2	A0A1F3QPJ2_9BACT	unreviewed	T9SS C-terminal target domain-containing protein	A3K10_16495	Bacteroidetes bacterium RIFCSPLOWO2_12_FULL_31_6	262		
SCY04349.1	A0A1G5CP81	A0A1G5CP81_9FLAO	unreviewed	PAS domain S-box-containing protein	SAMN02927903_00604	Flavobacterium caeni	1161	cytoplasm [GO:0005737]; membrane [GO:0016020]; ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155]; regulation of DNA-templated transcription [GO:0006355]; regulation of intracellular signal transduction [GO:1902531]	GO:0000155; GO:0005524; GO:0005737; GO:0006355; GO:0016020; GO:1902531
NEQ77947.1	A0A846AQA8	A0A846AQA8_9CYAN	unreviewed	Helix-turn-helix domain-containing protein	F6K23_36025	Okeania sp. SIO2C9	191		
OLF81389.1	A0A1Q8G195	A0A1Q8G195_9PROT	unreviewed	Lipoprotein	AWH62_01580	Maricaulis sp. W15	138	membrane [GO:0016020]	GO:0016020
PCI99895.1	A0A2A4Z021	A0A2A4Z021_9FLAO	unreviewed	Cytochrome c oxidase subunit I	COB15_03665	Flavobacteriales bacterium	593	respirasome [GO:0070469]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; aerobic respiration [GO:0009060]	GO:0004129; GO:0009060; GO:0020037; GO:0070469
MAX71900.1	A0A2E2EUV4	A0A2E2EUV4_9FLAO	unreviewed	Transcriptional regulator	CMC76_12520	Flavobacteriaceae bacterium	116		
PJA06946.1	A0A2M7VTA4	A0A2M7VTA4_9FLAO	unreviewed	TPR_REGION domain-containing protein	COX70_08490	Flavobacteriales bacterium CG_4_10_14_0_2_um_filter_32_8	944		
KJS06137.1	A0A0F2P0S8	A0A0F2P0S8_9FLAO	unreviewed	ribonuclease H (EC 3.1.26.4)	VR77_06410	Flavobacteriales bacterium BRH_c54	153	nucleic acid binding [GO:0003676]; RNA-DNA hybrid ribonuclease activity [GO:0004523]	GO:0003676; GO:0004523
OFY96716.1	A0A1F3R3J4	A0A1F3R3J4_9BACT	unreviewed	Amidase	A3K10_06820	Bacteroidetes bacterium RIFCSPLOWO2_12_FULL_31_6	212		
ABI66795.1	Q0ALP8	Q0ALP8_MARMM	unreviewed	LPS sulfotransferase NodH	Mmar10_2509	Maricaulis maris (strain MCS10)	260	transferase activity [GO:0016740]	GO:0016740
OFZ00423.1	A0A1F3RE03	A0A1F3RE03_9BACT	unreviewed	Pribosyltran domain-containing protein	A3K10_12020	Bacteroidetes bacterium RIFCSPLOWO2_12_FULL_31_6	223		
OFZ00422.1	A0A1F3RE36	A0A1F3RE36_9BACT	unreviewed	Chromosome partition protein Smc	A3K10_12015	Bacteroidetes bacterium RIFCSPLOWO2_12_FULL_31_6	308	membrane [GO:0016020]	GO:0016020
PCI93374.1	A0A2A4YF74	A0A2A4YF74_9FLAO	unreviewed	Competence domain-containing protein	COB15_16590	Flavobacteriales bacterium	268	membrane [GO:0016020]	GO:0016020
PCJ01544.1	A0A2A4Z343	A0A2A4Z343_9FLAO	unreviewed	NAD kinase (EC 2.7.1.23) (ATP-dependent NAD kinase)	nadK COB15_01085	Flavobacteriales bacterium	292	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]; NAD+ kinase activity [GO:0003951]; NAD metabolic process [GO:0019674]; NADP biosynthetic process [GO:0006741]; phosphorylation [GO:0016310]	GO:0003951; GO:0005524; GO:0005737; GO:0006741; GO:0016310; GO:0019674; GO:0046872; GO:0051287
OLF71887.1	A0A1Q8FJC4	A0A1Q8FJC4_9PROT	unreviewed	EAL domain-containing protein	AWH62_12185	Maricaulis sp. W15	824	membrane [GO:0016020]	GO:0016020
RKQ96688.1	A0A495D6B1	A0A495D6B1_9PROT	unreviewed	Serine hydrolase	C7435_2021	Maricaulis maris	89		
PCJ00648.1	A0A2A4Z252	A0A2A4Z252_9FLAO	unreviewed	YfhO family protein	COB15_02430	Flavobacteriales bacterium	688	membrane [GO:0016020]	GO:0016020
PJA06765.1	A0A2M7VSR2	A0A2M7VSR2_9FLAO	unreviewed	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9) (D-glutamic acid-adding enzyme) (UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase)	murD COX70_08785	Flavobacteriales bacterium CG_4_10_14_0_2_um_filter_32_8	425	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; UDP-N-acetylmuramoylalanine-D-glutamate ligase activity [GO:0008764]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	GO:0005524; GO:0005737; GO:0007049; GO:0008360; GO:0008764; GO:0009252; GO:0051301; GO:0071555
HAW35015.1	A0A350KRU8	A0A350KRU8_9SPHN	unreviewed	Methylcrotonoyl-CoA carboxylase	DCX71_02810	Erythrobacter sp	138		
